ID_ISO;ID_LINEA;SHEET;REV;PLANO_CONTRATISTA;PLANO_CODELCO;CLASE;NPS;INGENIERIA;CONDICION;SPOOLEADO;ESTATUS;DISTRIBUIDO;OBSERVACIONES
"03351-CT-6""-C3-0005-R3_HOJA-1";"03351-CT-6""-C3-0005-R3";1;0;F039-SS01-ISO-PI-001;4600022667-001-03350-502CA-00001;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0005-R3_HOJA-2";"03351-CT-6""-C3-0005-R3";2;0;F039-SS01-ISO-PI-001;4600022667-001-03350-502CA-00001;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0005-R3_HOJA-3";"03351-CT-6""-C3-0005-R3";3;0;F039-SS01-ISO-PI-001;4600022667-001-03350-502CA-00001;C3;12;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-1";"03351-CT-6""-C3-0018-R3";1;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;4;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-2";"03351-CT-6""-C3-0018-R3";2;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-3";"03351-CT-6""-C3-0018-R3";3;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;2;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-4";"03351-CT-6""-C3-0018-R3";4;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-5";"03351-CT-6""-C3-0018-R3";5;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-6";"03351-CT-6""-C3-0018-R3";6;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-7";"03351-CT-6""-C3-0018-R3";7;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-8";"03351-CT-6""-C3-0018-R3";8;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-9";"03351-CT-6""-C3-0018-R3";9;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-10";"03351-CT-6""-C3-0018-R3";10;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-11";"03351-CT-6""-C3-0018-R3";11;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-12";"03351-CT-6""-C3-0018-R3";12;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-13";"03351-CT-6""-C3-0018-R3";13;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-14";"03351-CT-6""-C3-0018-R3";14;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-15";"03351-CT-6""-C3-0018-R3";15;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-16";"03351-CT-6""-C3-0018-R3";16;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-17";"03351-CT-6""-C3-0018-R3";17;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-18";"03351-CT-6""-C3-0018-R3";18;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-19";"03351-CT-6""-C3-0018-R3";19;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-20";"03351-CT-6""-C3-0018-R3";20;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-21";"03351-CT-6""-C3-0018-R3";21;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0018-R3_HOJA-22";"03351-CT-6""-C3-0018-R3";22;0;F039-SS01-ISO-PI-002;4600022667-001-03350-502CA-00002;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0006-R3_HOJA-1";"03351-CT-6""-C3-0006-R3";1;0;F039-SS01-ISO-PI-003;4600022667-001-03350-502CA-00003;C3;12;JRI;Dibujado;SI;Vigente;SI;
