ID_JUNTA;ID_SPOOL;ID_ISO;SISTEMA;SUB SISTEMA;TEST PACK;AREA;ID_LINEA;SHEET;REV;SPOOL;N° UNION;DESTINATION;TIPO UNION ;NPS;SCH;CLASE;AISLACION;MATERIAL;MTS;NOMBRE SERVICIO;RESPONSABLE;EST.;OBSERV.;SUMINISTRO 20%;Pre Armado 5%;Soldadura 25%;Pintura 10%_1;Montaje 30%;Touch-Up 5%;Protocolos 5%;TOTAL_2;ACUMULADO_3;ANTERIOR_4;PERIODO_5;estatus;fecha;soldador;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78
"03351-CT-10""-C3-0079-R3_HOJA-1_SP01_0";"03351-CT-10""-C3-0079-R3_HOJA-1_SP01";"03351-CT-10""-C3-0079-R3_HOJA-1";Colectivo Cu-Mo TIE-IN-001;03350-02-05;;TORRE TRASFERENCIA;"03351-CT-10""-C3-0079-R3";1;1;SP01;0;F;BW;10;150;C3;R3;CS;0,23;Concentrado Cu-Mo;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_1;03351-CT-200-H2-0002-N_HOJA-1_SP01;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP01;1;F;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;;TIE-IN 03351-002;17/06/2026;;;46249;;46251;;0,35;0,497;0,284;0,213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_2;03351-CT-200-H2-0002-N_HOJA-1_SP01;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP01;2;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;;;17/06/2026;;;46249;;46251;;0,35;0,497;0,284;0,213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_3;03351-CT-200-H2-0002-N_HOJA-1_SP01;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP01;3;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46235;46235;46235;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46235;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP02_4;03351-CT-200-H2-0002-N_HOJA-1_SP02;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP02;4;F;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;;TIE-IN 03351-002;17/06/2026;;;46249;;46251;;0,35;0,497;0,284;0,213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_5;03351-CT-200-H2-0002-N_HOJA-1_SP01;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP01;5;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;;;17/06/2026;;;46249;;46251;;0,35;0,497;0,284;0,213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP01_6;03351-CT-200-H2-0002-N_HOJA-1_SP01;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP01;6;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46235;46235;46235;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46235;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_7;03351-CT-200-H2-0002-N_HOJA-1_SP03;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP03;7;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46235;46235;46235;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46235;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_8;03351-CT-200-H2-0002-N_HOJA-1_SP03;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP03;8;S;TF;2;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46235;46235;46235;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46235;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_9;03351-CT-200-H2-0002-N_HOJA-1_SP03;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP03;9;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46235;46235;46235;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46235;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_10;03351-CT-200-H2-0002-N_HOJA-1_SP03;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP03;10;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46235;46235;46235;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46235;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP03_11;03351-CT-200-H2-0002-N_HOJA-1_SP03;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP03;11;F;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;;;17/06/2026;;;46249;;46251;;0,35;0,497;0,284;0,213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP04_12;03351-CT-200-H2-0002-N_HOJA-1_SP04;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP04;12;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46232;46232;46232;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46232;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP04_13;03351-CT-200-H2-0002-N_HOJA-1_SP04;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP04;13;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46233;46233;46233;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46233;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP04_14;03351-CT-200-H2-0002-N_HOJA-1_SP04;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP04;14;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46233;46233;46233;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46233;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP04_15;03351-CT-200-H2-0002-N_HOJA-1_SP04;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP04;15;F;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46233;46233;46233;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46233;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03351-CT-200-H2-0002-N_HOJA-1_SP05_16;03351-CT-200-H2-0002-N_HOJA-1_SP05;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP05;16;S;TF;8;PN10;H2;N;HDPE;1,42;Concentrado Cu-Mo;;W-27;;17/06/2026;46236;46236;46236;;46251;;0,65;0,923;0,852;0,071;EJECUTADA;46236;W-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
