ID_LINEA;CLASE;NPS;SERVICIO;TIPO MATERIAL;PLANO_CODELCO;MTS;FROM;TO;TEMP_DISEÑO_C;PRESION_DISEÑO_KG;TIPO PRUEBA;ESQUEMA;RAL;REVESTIMIENTO INTERIOR;AISLACION;OBSERVACIONES
"03351-CT-10""-C3-0079-R3";C3;10;CT;CS;4600022667-001-03350-502CA-00012;0,23;03351-ZZM-001;Tramo Vendor 03351-ESP-001;38;20;Servicio;EPC-9;;R3;N/A;JUNTA EXPANSION
03351-CT-200-H2-0002-N;H2;8;CT;HDPE;4600022667-001-03350-502CA-00013;194,35;;;20;10,2;Servicio;N/A;;N/A;N/A;
03351-CT-200-H2-0045-N;H2;8;CT;HDPE;4600022667-001-03350-502CA-00014;2,22;;;20;10,2;Servicio;N/A;;N/A;N/A;
"03351-CT-3""-C2-0012-N";C2;3;CT;CS;4600022667-001-03350-502CA-00015;8,5;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0059-N";C2;3;CT;CS;4600022667-001-03350-502CA-00016;0,59;"03351-CT-6""-C3-0005-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0060-N";C2;3;CT;CS;4600022667-001-03350-502CA-00017;0,6;"03351-CT-6""-C3-0006-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0061-N";C2;3;CT;CS;4600022667-001-03350-502CA-00018;0,6;"03351-CT-6""-C3-0007-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0062-N";C2;3;CT;CS;4600022667-001-03350-502CA-00019;2,2;"03351-CT-6""-C3-0018-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0063-N";C2;3;CT;CS;4600022667-001-03350-502CA-00020;2;"03351-CT-6""-C3-0018-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0064-N";C2;3;CT;CS;4600022667-001-03350-502CA-00021;3,56;"03351-CT-6""-C3-0018-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0065-N";C2;3;CT;CS;4600022667-001-03350-502CA-00022;8,5;"03351-CT-6""-C3-0018-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0066-N";C2;3;CT;CS;4600022667-001-03350-502CA-00023;2,32;"03351-CT-6""-C3-0021-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0067-N";C2;3;CT;CS;4600022667-001-03350-502CA-00024;1,97;"03351-CT-6""-C3-0021-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0068-N";C2;3;CT;CS;4600022667-001-03350-502CA-00025;3,45;"03351-CT-6""-C3-0021-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0069-N";C2;3;CT;CS;4600022667-001-03350-502CA-00026;9,35;"03351-CT-6""-C3-0021-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0070-N";C2;3;CT;CS;4600022667-001-03350-502CA-00027;2,2;"03351-CT-6""-C3-0023-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0071-N";C2;3;CT;CS;4600022667-001-03350-502CA-00028;1,99;;A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0072-N";C2;3;CT;CS;4600022667-001-03350-502CA-00029;1,99;"03351-CT-6""-C3-0046-R3";A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0074-N";C2;3;CT;CS;4600022667-001-03350-502CA-00030;8,65;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-3""-C2-0086-N";C2;3;CT;CS;4600022667-001-03350-502CA-00031;1,99;;A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-4""-C2-0003-N";C2;4;CT;CS;4600022667-001-03350-502CA-00032;13,8;03351-CAJ-001;A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-4""-C2-0004-N";C2;4;CT;CS;4600022667-001-03350-502CA-00033;8,91;03351-CAJ-002;A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-4""-C3-0015-R3";C3;4;CT;CS;4600022667-001-03350-502CA-00034;27;;;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-4""-C3-0017-R3";C3;4;CT;CS;4600022667-001-03350-502CA-00035;2,349;;;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-4""-C3-0077-R3";C3;4;CT;CS;4600022667-001-03350-502CA-00036;2,943;;;38;20;Servicio;EPC-9;;R3;N/A;
03351-CT-400-H1-0057-N;H1;16;CT;HDPE;4600022667-001-03350-502CA-00037;13,804;PRETIL CONTENCION DERRAMES;POZO DE TRABAJO;20;6,3;Servicio;N/A;;N/A;N/A;
03351-CT-400-H1-0058-N;H1;16;CT;HDPE;4600022667-001-03350-502CA-00038;13,804;PRETIL CONTENCION DERRAMES;POZO DE TRABAJO;20;6,3;Servicio;N/A;;N/A;N/A;
"03351-CT-6""-C11-0001-N";C11;6;CT;CS;4600022667-001-03350-502CA-00010;169,186;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-6""-C2-0047-N";C2;12;CT;CS;4600022667-001-03350-502CA-00011;2,112;03351-ESP-001;A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-CT-6""-C3-0005-R3";C3;12;CT;CS;4600022667-001-03350-502CA-00001;5,862;03351-ESP-001;03351-BOC-001;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0006-R3";C3;12;CT;CS;4600022667-001-03350-502CA-00003;5,985;03351-ESP-001;03351-BOC-002;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0007-R3";C3;12;CT;CS;4600022667-001-03350-502CA-00005;5,746;03351-ESP-001;03351-BOC-003;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0018-R3";C3;6;CT;CS;4600022667-001-03350-502CA-00002;228,736;03351-BOC-001;CAJON DISTRIBUIDOR (EXISTENTE);38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0021-R3";C3;6;CT;CS;4600022667-001-03350-502CA-00004;198,3905;03351-BOC-002;CAJON DISTRIBUIDOR (EXISTENTE);38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0023-R3";C3;6;CT;CS;4600022667-001-03350-502CA-00006;14,722;03351-BOC-003;;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0030-R3";C3;6;CT;CS;4600022667-001-03350-502CA-00008;10,422;"03351-CT-6""-C3-0018-R3";03351-CAJ-002;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0046-R3";C3;6;CT;CS;4600022667-001-03350-502CA-00007;18,688;"03351-CT-6""-C3-0023-R3";;38;20;Servicio;EPC-9;;R3;N/A;
"03351-CT-6""-C3-0050-R3";C3;6;CT;CS;4600022667-001-03350-502CA-00009;11,585;;;38;20;Servicio;EPC-9;;R3;N/A;
"03351-FP-1""-C5-0022-HC";C5;1;FP;CS;4600022667-001-03350-502CA-00039;0,749;;A PISO;40;12,3;Servicio;EPC-9;;N/A;HC;"SDI-014 , P&ID Indica 03351-FP-1""-C5-022-HC / Maqueta 03351-FP-1_-C5-0122-N"
"03351-FP-2""-C5-0121-HC";C5;6;FP;CS;4600022667-001-03350-502CA-00040;27,725;;;40;12,3;Servicio;EPC-9;;N/A;HC;SDI-014
"03351-GW-1""-C1-0031-N";C1;1;GW;CS;4600022667-001-03350-502CA-00041;7,49;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0032-N";C1;1;GW;CS;4600022667-001-03350-502CA-00042;2,1;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0033-N";C1;1;GW;CS;4600022667-001-03350-502CA-00043;9,471;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0034-N";C1;1;GW;CS;4600022667-001-03350-502CA-00044;2,304;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0035-N";C1;1;GW;CS;4600022667-001-03350-502CA-00045;7,434;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0036-N";C1;1;GW;CS;4600022667-001-03350-502CA-00046;2;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0043-N";C1;1;GW;CS;4600022667-001-03350-502CA-00047;57,39;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0075-N";C1;1;GW;CS;4600022667-001-03350-502CA-00048;0,8;03351-BOC-004;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-1""-C1-0076-N";C1;1;GW;CS;4600022667-001-03350-502CA-00049;0,8;03351-BOC-005;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-2""-C1-0040-N";C1;2;GW;CS;4600022667-001-03350-502CA-00050;0,42;03351-EST-001;03351-BOC-004/005;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-2""-C1-0041-N";C1;2;GW;CS;4600022667-001-03350-502CA-00051;0,77;"03351-GW-2""-C1-0040-N";03351-BOC-004;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-2""-C1-0042-N";C1;2;GW;CS;4600022667-001-03350-502CA-00052;0,77;"03351-GW-2""-C1-0040-N";03351-BOC-005;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-2""-C1-0095-N";C1;2;GW;CS;4600022667-001-03350-502CA-00053;9,42198;;03351-EST-001;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0102-N";G1;2;IA;GS;4600022667-001-03350-502CA-00054;10,153;"03351-IA-2""-G1-0100-N";03351-TCN-011;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0103-N";G1;2;IA;AG;4600022667-001-03350-502CA-00055;12,48;"03351-IA-2""-G1-0100-N";03351-TCN-008;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0104-N";G1;2;IA;AG;4600022667-001-03350-502CA-00056;14,62;"03351-IA-2""-G1-0100-N";03351-TCN-009;38;20;Servicio;EPC-9;;N/A;N/A;
