ID_Soporte;ITEM;EWP;CWP;CWA;PWP;ID_LINEA;ID_ISO;CLASE;ID_TipoSoporte;DIAM.;CANTIDAD;UNIDAD;PESO_TOTAL;UNIDAD2;SUMINISTRO;OBSERV.;;
"148_PU-01, PERNO U LARGO_3""";148;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"156_SA-10, ABRAZADERA ESTANDAR_8""";156;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"157_SA-10, ABRAZADERA ESTANDAR_8""";157;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"158_SA-10, ABRAZADERA ESTANDAR_8""";158;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"159_SA-10, ABRAZADERA ESTANDAR_8""";159;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"160_SA-10, ABRAZADERA ESTANDAR_8""";160;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"161_SA-10, ABRAZADERA ESTANDAR_8""";161;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"162_SA-10, ABRAZADERA ESTANDAR_8""";162;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"163_SA-10, ABRAZADERA ESTANDAR_8""";163;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"164_SA-10, ABRAZADERA ESTANDAR_8""";164;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"167_SA-10, ABRAZADERA ESTANDAR_8""";167;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"168_SA-10, ABRAZADERA ESTANDAR_8""";168;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"169_SA-10, ABRAZADERA ESTANDAR_8""";169;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"170_SA-10, ABRAZADERA ESTANDAR_8""";170;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"171_SA-10, ABRAZADERA ESTANDAR_8""";171;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"172_SA-10, ABRAZADERA ESTANDAR_8""";172;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"174_SA-10, ABRAZADERA ESTANDAR_8""";174;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"175_SA-10, ABRAZADERA ESTANDAR_8""";175;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"176_SA-10, ABRAZADERA ESTANDAR_8""";176;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
