ID_SPOOL;TAG GESTION;ID_ISO;SISTEMA;SUB SISTEMA;TEST PACK;AREA;ID_LINEA;SHEET;REV;SPOOL;NPS;AISLACION;MATERIAL;NOMBRE SERVICIO;ESQUEMA;RAL;Total Uniones S;Avance Uniones S;RESPONSABLE;Proceso;Pintura / Revestimiento;Recibido;Posicionado;Montaje;Ubicación;TOTAL;OBSERV.;estatus;ubicacion;fecha;mts montados;Column33;Column34
"03351-CT-10""-C3-0079-R3_HOJA-1_SP01";001;"03351-CT-10""-C3-0079-R3_HOJA-1";Colectivo Cu-Mo TIE-IN-001;03350-02-05;;TORRE TRASFERENCIA;"03351-CT-10""-C3-0079-R3";1;1;SP01;10;R3;CS;Concentrado Cu-Mo;EPC-9;8004;0;0;;00.Eliminado;;;;;;0;Junta Expancio;REVISAR INGENIERIA;0;46218,82148;0;VERDADERO;00.Eliminado_REVISAR INGENIERIA
03351-CT-200-H2-0002-N_HOJA-1_SP01;002;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP01;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;4;2;1,2;05.Por Montar;;;;;Borde rio;0;;Por Montar;Borde rio;46238,539;0;FALSO;05.Por Montar_Por Montar
03351-CT-200-H2-0002-N_HOJA-1_SP02;003;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP02;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;0;0;0,4;;;;;;;0;;;;;;VERDADERO;_
03351-CT-200-H2-0002-N_HOJA-1_SP03;004;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP03;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;4;4;5,96;05.Por Montar;;;;;Borde rio;0;;Falta Material;0;46252,43811;0;VERDADERO;05.Por Montar_Falta Material
03351-CT-200-H2-0002-N_HOJA-1_SP04;005;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP04;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;3;3;3,9;05.Por Montar;;;;;Borde rio;0;;Por Montar;Borde rio;46238,52347;0;VERDADERO;05.Por Montar_Por Montar
03351-CT-200-H2-0002-N_HOJA-1_SP05;006;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP05;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;2;2;8,9;05.Por Montar;14/07/2026;;;;Borde rio;0,1;;Por Montar;Borde rio;46237,59421;0;VERDADERO;05.Por Montar_Por Montar
03351-CT-200-H2-0002-N_HOJA-1_SP06;007;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP06;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;2;2;0,6;05.Por Montar;14/07/2026;;;;Borde rio;0,1;;Por Montar;Borde rio;46237,65175;0;VERDADERO;05.Por Montar_Por Montar
03351-CT-200-H2-0002-N_HOJA-1_SP07;008;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP07;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;1;1;9,8;05.Por Montar;14/07/2026;;;;Borde rio;0,1;;Por Montar;Borde rio;46237,61737;0;VERDADERO;05.Por Montar_Por Montar
03351-CT-200-H2-0002-N_HOJA-1_SP08;009;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP08;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;3;2;0,95;05.Por Montar;14/07/2026;;;;Borde rio;0,1;;Por Montar;Borde rio;46237,65993;0;FALSO;05.Por Montar_Por Montar
03351-CT-200-H2-0002-N_HOJA-1_SP09;010;03351-CT-200-H2-0002-N_HOJA-1;Colas primarias;03350-02-06;;PIPE RACK ;03351-CT-200-H2-0002-N;1;0;SP09;8;N;HDPE;Concentrado Cu-Mo;N/A;N/A;4;3;3;05.Por Montar;14/07/2026;;;;Borde rio;0,1;;Por Montar;Borde rio;46237,68134;0;FALSO;05.Por Montar_Por Montar
